"building_id","building_name","street_address","max_capacity","building_type"
101,"Science Hall","123 University Drive",300,"Academic"
102,"Administration Center","45 Main Street",150,"Administrative"
103,"Library West","789 Elm Avenue",1200,"Library"
104,"Student Union","10 Campus Center",800,"Recreational"
105,"Engineering Annex","200 Technology Way",450,"Academic"
106,"Arts and Humanities Building","30 Fine Arts Loop",350,"Academic"
107,"Faculty Residence Hall A","101 Faculty Row",50,"Residential"
108,"Dining Hall Central","15 Campus Center",500,"Dining"
109,"Gymnasium Arena","40 Sports Complex",2500,"Athletic"
110,"Health Services Clinic","5 Emergency Lane",75,"Medical"
111,"Business School North","60 Commerce Blvd",400,"Academic"
112,"Dormitory Tower One","20 Residence Way",750,"Residential"
113,"Law School Building","90 Justice Avenue",250,"Academic"
114,"Physical Education Annex","42 Sports Complex",100,"Athletic"
115,"Maintenance Depot","1 Facilities Yard",30,"Maintenance"
116,"Chapel and Events Center","33 Serenity Lane",600,"Event"
117,"Research Lab C","150 Science Drive",120,"Research"
118,"Graduate Studies Building","50 Advanced Court",200,"Academic"
119,"Bookstore Pavilion","5 Campus Center",80,"Retail"
120,"Campus Police Station","2 Security Circle",40,"Administrative"
121,"Alumni Center","1 Development Way",90,"Administrative"
122,"Physics Lab A","30 Science Drive",60,"Research"
123,"Chemistry Annex","35 Science Drive",70,"Academic"
124,"Student Health Center","1 Health Services Loop",110,"Medical"
125,"Performing Arts Center","50 Arts Way",1500,"Event"
126,"School of Education","4 Education Place",280,"Academic"
127,"Visual Arts Studio","55 Fine Arts Loop",130,"Academic"
128,"Dormitory Hall B","30 Residence Way",650,"Residential"
129,"IT Data Center","7 Technology Way",20,"Maintenance"
130,"Bookstore Annex","6 Campus Center",50,"Retail"
131,"Athletic Training Facility","45 Sports Complex",160,"Athletic"
132,"School of Social Work","15 Community Street",220,"Academic"
133,"North Parking Garage","10 Parking Blvd",150,"Parking"
134,"South Dining Hall","20 Campus Center",450,"Dining"
135,"Central Research Tower","100 Science Drive",550,"Research"
136,"Housing Services Office","40 Residence Way",35,"Administrative"
137,"Language Learning Center","40 Humanities Loop",180,"Academic"
138,"Recycling Center","5 Facilities Yard",15,"Maintenance"
139,"Dormitory Village C","50 Residence Way",850,"Residential"
140,"Financial Aid Office","55 Main Street",100,"Administrative"
141,"Technology Center","15 Tech Way",550,"Academic"
142,"Human Resources Building","60 Main Street",70,"Administrative"
143,"Music Conservatory","25 Fine Arts Loop",250,"Academic"
144,"Art Gallery Hall","35 Fine Arts Loop",180,"Event"
145,"Career Services Center","5 Career Path",95,"Administrative"
146,"Dormitory Hall C","60 Residence Way",700,"Residential"
147,"Research Lab D","160 Science Drive",140,"Research"
148,"University Press","1 Publishing Row",30,"Administrative"
149,"West Parking Garage","20 Parking Blvd",200,"Parking"
150,"Outdoor Recreation Center","50 Sports Complex",120,"Recreational"
151,"Physics Research Center","70 Science Drive",190,"Research"
152,"Chemistry Research Center","80 Science Drive",170,"Research"
153,"Biology Building","90 Science Drive",320,"Academic"
154,"School of Public Policy","10 Policy Avenue",260,"Academic"
155,"Campus TV Station","1 Media Hub",45,"Media"
156,"Dormitory Hall D","70 Residence Way",600,"Residential"
157,"Faculty Office Annex","10 Faculty Row",80,"Administrative"
158,"Veterans Support Center","7 Service Road",25,"Administrative"
159,"The Quad Pavilion","5 Campus Center East",15,"Recreational"
160,"East Dining Hall","30 Campus Center",420,"Dining"
161,"Central Boiler Plant","2 Power Lane",25,"Maintenance"
162,"Transportation Hub","1 Transit Avenue",50,"Administrative"
163,"School of Engineering","100 Technology Way",600,"Academic"
164,"Interdisciplinary Center","50 Collaboration Lane",380,"Academic"
165,"Theater Workshop Studio","70 Arts Way",85,"Academic"
166,"West Dining Hall","40 Campus Center",400,"Dining"
167,"Dormitory Hall E","80 Residence Way",550,"Residential"
168,"Field House and Track","60 Sports Complex",3000,"Athletic"
169,"Central Utilities Building","4 Power Lane",35,"Maintenance"
170,"Registrar’s Office","70 Main Street",60,"Administrative"
171,"Geology Museum","110 Science Drive",150,"Research"
172,"School of Journalism","10 Media Hub",210,"Academic"
173,"South Parking Lot Office","30 Parking Blvd",10,"Parking"
